Code,i,ii,iii,iv,v,Second Max,Max,Cap,Second Min,Min,Floor,Conditional Floor
KO,72.4,67.42857142857143,55.57,72.24,74.49,72.4,74.49,73.445,67.42857142857143,55.57,61.49928571428572,58.756
PEP,175.2,178.84285714285716,151.03,189.80499999999998,187.59,187.59,189.80499999999998,188.6975,175.2,151.03,163.115,150.958
COST,673.85,458.04285714285714,454.86,518.495,728.6233333333333,673.85,728.6233333333333,701.2366666666667,458.04285714285714,454.86,456.45142857142855,456.45142857142855
ULTA,584.0,231.02857142857144,634.97,513.325,531.1533333333333,584.0,634.97,609.485,513.325,231.02857142857144,372.17678571428576,372.17678571428576
BKNG,5079.2,3518.757142857143,4711.91,4341.285,5427.693333333334,5079.2,5427.693333333334,5253.446666666667,4341.285,3518.757142857143,3930.0210714285713,3930.0210714285713
V,345.25,279.4428571428572,267.48,347.295,347.25666666666666,347.25666666666666,347.295,347.27583333333337,279.4428571428572,267.48,273.4614285714286,273.4614285714286
MA,533.05,421.6857142857143,397.87,523.39,534.3766666666667,533.05,534.3766666666667,533.7133333333334,421.6857142857143,397.87,409.77785714285716,409.77785714285716
FSLR,0.0,0.0,621.76,424.905,448.46333333333337,448.46333333333337,621.76,535.1116666666667,0.0,0.0,0.0,0.0
TSLA,0.0,0.0,104.66,66.43,70.27,70.27,104.66,87.465,0.0,0.0,0.0,0.0
ON,0.2,0.0,143.72,91.31,95.97666666666667,95.97666666666667,143.72,119.84833333333333,0.2,0.0,0.1,0.1
MCHP,0.0,0.0,97.41,57.435,155.44333333333333,97.41,155.44333333333333,126.42666666666666,0.0,0.0,0.0,0.0
CRM,160.2,151.0857142857143,285.22,226.26500000000001,217.82000000000002,226.26500000000001,285.22,255.7425,160.2,151.0857142857143,155.64285714285714,155.64285714285714
ADBE,626.9,537.3714285714286,503.85,648.645,641.38,641.38,648.645,645.0125,537.3714285714286,503.85,520.6107142857143,516.0100000000001
MSFT,647.1,400.42857142857144,403.25,533.63,661.62,647.1,661.62,654.36,403.25,400.42857142857144,401.8392857142857,401.8392857142857
GOOG,523.75,201.94285714285718,283.53,391.235,576.67,523.75,576.67,550.21,283.53,201.94285714285718,242.73642857142858,242.73642857142858
AAPL,289.85,168.01428571428573,200.1,207.525,326.22999999999996,289.85,326.22999999999996,308.03999999999996,200.1,168.01428571428573,184.05714285714288,184.05714285714288
ENPH,0.0,0.0,124.14,74.8,117.96,117.96,124.14,121.05,0.0,0.0,0.0,0.0
PFE,0.0,0.0,55.95,42.125,41.20333333333333,42.125,55.95,49.0375,0.0,0.0,0.0,0.0
JNJ,201.95,146.67142857142858,145.5,165.05,190.05666666666664,190.05666666666664,201.95,196.00333333333333,146.67142857142858,145.5,146.0857142857143,146.0857142857143
AMZN,4.8,0.0,168.32,126.305,136.37666666666667,136.37666666666667,168.32,152.34833333333333,4.8,0.0,2.4,2.4
