index,EPS,Book,ROA,ROA_BIT,Lg,mp
KO,2.4870009285051067,22.322191272051995,0.11141383469905577,0.15056570026205232,3.707027485447747,14.477777827598937
PEP,6.604075691411936,73.0429403202329,0.0904136068791662,0.12191986927192834,5.424039344971086,6.0961686058367315
COST,16.625068265008146,157.58723252528625,0.1054975583909725,0.14189972934656528,2.956184912369825,4.524703398031769
ULTA,26.71560715172585,118.09889495902657,0.22621386221263634,0.29552054481759366,2.5038129659267994,12.636272464459374
BKNG,124.68875416456514,707.6646430109221,0.17619751869197273,0.26201626817845697,-8.870991253644315,-13.08643628367543
V,8.352403437575177,43.761023487356915,0.19086398744737512,0.23957170797467375,2.336483102264219,16.44792695407778
MA,11.986081370449678,45.37473233404711,0.2641576215195847,0.33539405379896176,6.1163227016885555,53.59289642846199
FSLR,7.77535454160241,97.00867521670493,0.08015112590944332,0.08724008531681024,1.5499334651121373,-0.05552198385200968
ON,5.121410689560741,30.95126672723864,0.16546691722486587,0.1978146879641136,1.6957315036106186,1.460237769868841
ADBE,11.92967032967033,65.44835164835165,0.18227610060781088,0.23210987608717554,1.8028211647899262,10.864879044310827
MSFT,11.855797686306161,68.89467312348668,0.17208583985957596,0.21618508170250486,1.9076606189729475,5.440453854778692
GOOG,5.92255216693419,32.29470304975923,0.18339082287918249,0.21378407125390167,1.4199781917502707,3.131794476606897
AAPL,6.200788977233652,24.14402109019735,0.25682503150857583,0.33759658063455533,6.408779631255487,23.062938355483205
AMZN,2.9302706346913223,50.83829336415294,0.057639044129626754,0.07717853800482709,2.6147566563467493,-0.3539402835385834
BAC,3.3582600433080785,399.1857259866645,0.00841277587019799,,11.972520313467477,
AXP,11.582295988934993,361.14522821576764,0.03207102042066884,,9.306340663649,
META,15.26669269816478,89.66146036704413,0.1702703997421861,0.20848956768267987,1.499157787527421,1.6517829086313973
UBER,0.9110906822509686,17.99295461831722,0.05063596844308485,0.07926796543766436,3.3128278069161703,-0.14589569134690927
